Title,Price,Location,Area,Beds,Baths,Link
2300 Sq Feet Super Luxury Furnished Apartment For Sale In Most Beautiful Secure Project In Gulberg,PKR 8.14 Crore,"Oyster Court Luxury Residences, MM Alam Road",9.8 Marla,2,3,https://www.zameen.com/Property/mm_alam_road_oyster_court_luxury_residences_2300_sq_feet_super_luxury_furnished_apartment_for_sale_in_most_beautiful_secure_project_in_gulberg-52491754-9692-1.html
5 MARLA BEAUTIFUL HOUSE FOR SALE IN JINNAH BLOCK SECTOR E BAHRIA TOWN LAHORE,PKR 2 Crore,"Bahria Town - Jinnah Block, Bahria Town - Sector E",5 Marla,3,4,https://www.zameen.com/Property/bahria_town_sector_e_bahria_town_-_jinnah_block_5_marla_beautiful_house_for_sale_in_jinnah_block_sector_e_bahria_town_lahore-49851094-1804-1.html
1 Bed Luxury Apartment For Sale In Oyster Court Gulberg - Exclusive Living,PKR 3.88 Crore,"Oyster Court Luxury Residences, MM Alam Road",6 Marla,1,2,https://www.zameen.com/Property/mm_alam_road_oyster_court_luxury_residences_1_bed_luxury_apartment_for_sale_in_oyster_court_gulberg_-_exclusive_living-50930414-9692-1.html
"3 Bed Luxury Apartments For Sale In Gulberg , MM Alam, Gulberg III, Main Boulevard ,Zafar Ali Road",PKR 5.5 Crore,"Gulberg, Lahore",9.8 Marla,3,3,https://www.zameen.com/Property/lahore_gulberg_3_bed_luxury_apartments_for_sale_in_gulberg_mm_alam_gulberg_iii_main_boulevard_zafar_ali_road-50606915-7-1.html
Fully Furnished Most Luxury Apartment In Most High-End Building Of Most Secured Area Of Gulberg Lahore,PKR 5 Crore,"Gulberg, Lahore",8.9 Marla,3,4,https://www.zameen.com/Property/lahore_gulberg_fully_furnished_most_luxury_apartment_in_most_high-end_building_of_most_secured_area_of_gulberg_lahore-50450048-7-1.html
2 KANAL HOUSE WITH ONE KANAL LAWN AND ONE KANAL HOUSE FOR SALE AT IDEAL LOCATION,PKR 21.5 Crore,"DHA Phase 6, DHA Defence",2 Kanal,5,6,https://www.zameen.com/Property/dha_defence_dha_phase_6_2_kanal_house_with_one_kanal_lawn_and_one_kanal_house_for_sale_at_ideal_location-52996463-1448-1.html
2 Beds Most Luxury Apartment For Sale In Gulberg Most Luxury Building Of Lahore,PKR 6.5 Crore,"Gulberg, Lahore",8.9 Marla,2,2,https://www.zameen.com/Property/lahore_gulberg_2_beds_most_luxury_apartment_for_sale_in_gulberg_most_luxury_building_of_lahore-50169276-7-1.html
One Kanal Brand New Luxury Ultra-Modern Design Most Beautiful Fully Furnished Bungalow 2 Servant Quarter In Basement For Sale At Prime Location Of DHA Lahore Near To Park &Amp; DHA Raya Fairways Commercial,PKR 12.95 Crore,"DHA Phase 6 - Block L, DHA Phase 6",1 Kanal,5,6,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_l_one_kanal_brand_new_luxury_ultra-modern_design_most_beautiful_fully_furnished_bungalow_2_servant_quarter_in_basement_for_sale_at_prime_location_of_dha_lahore_near_to_park_amp_dha_raya_fairways_commercial-51404917-1620-1.html
8 MARLA HOUSE FOR SALE IN MILITARY ACCOUNTS COLLEGE ROAD.,PKR 2.5 Crore,"Military Accounts Housing Society, Lahore",8 Marla,6,6,https://www.zameen.com/Property/lahore_military_accounts_housing_society_8_marla_house_for_sale_in_military_accounts_college_road-50428469-781-1.html
5 MARLA DOUBLE STORY HOUSE FOR SALE IN EDEN BOULEVARD COLLEGE ROAD LAHORE.,PKR 1.8 Crore,"Eden Boulevard Housing Scheme, College Road",5 Marla,4,4,https://www.zameen.com/Property/college_road_eden_boulevard_housing_scheme_5_marla_double_story_house_for_sale_in_eden_boulevard_college_road_lahore-52043809-12447-1.html
5 MARLA BRAND NEW HOUSE FOR SALE IN NASHEMAN-E-IQBAL PHASE 2.,PKR 1.75 Crore,"Nasheman-e-Iqbal Phase 2, Nasheman-e-Iqbal",5 Marla,5,6,https://www.zameen.com/Property/nasheman_e_iqbal_nasheman-e-iqbal_phase_2_5_marla_brand_new_house_for_sale_in_nasheman-e-iqbal_phase_2-52080177-4071-1.html
3 Years Installment Plan Luxury 10 Marla Brand New House In Park View City Lahore,PKR 3.2 Crore,"Park View City, Lahore",10 Marla,4,5,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_10_marla_brand_new_house_in_park_view_city_lahore-52836539-1466-1.html
House In DHA Phase 6 - Block K Sized 1 Kanal Is Available,PKR 23.75 Crore,"DHA Phase 6 - Block K, DHA Phase 6",1 Kanal,6,7,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_k_house_in_dha_phase_6_-_block_k_sized_1_kanal_is_available-52946600-1619-1.html
Main Ki Back Brand New Hot Location Next to Corner House at Dha Phase 7 Block U,PKR 8.75 Crore,"DHA Phase 7 - Block U, DHA Phase 7",1 Kanal,5,6,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_u_main_ki_back_brand_new_hot_location_next_to_corner_house_at_dha_phase_7_block_u-52950251-1628-1.html
10 Marla Furnished House Owner Build For Sale Prime location,PKR 6.85 Crore,"DHA Phase 5 - Block K, DHA Phase 5",10 Marla,4,5,https://www.zameen.com/Property/dha_phase_5_dha_phase_5_-_block_k_10_marla_furnished_house_owner_build_for_sale_prime_location-52928294-1607-1.html
Modern Design 1-Kanal House For Sale In Valencia. 5 Beds +Swimming Pool Location:- NFC Valencia Town Lahore. Modern Design Brand New 1-Kanal House Is Available For Sale. 5 Beds + Swimming Pool,PKR 8.5 Crore,"Valencia Housing Society, Lahore",1 Kanal,5,6,https://www.zameen.com/Property/lahore_valencia_housing_society_modern_design_1-kanal_house_for_sale_in_valencia_5_beds_swimming_pool_location_-_nfc_valencia_town_lahore_modern_design_brand_new_1-kanal_house_is_available_for_sale_5_beds_swimming_pool-52901150-373-1.html
5 Marla House Is Available For Sale In DHA 9 Town Block A Lahore,PKR 3.25 Crore,"DHA 9 Town - Block A, DHA 9 Town",5 Marla,3,3,https://www.zameen.com/Property/dha_9_town_dha_9_town_-_block_a_5_marla_house_is_available_for_sale_in_dha_9_town_block_a_lahore-52594643-8173-1.html
3.5 Marla Ultra Modern Corner Near To Commercial House For Sale In Al Kabir Town Phase 2 Lahore,PKR 1.74 Crore,"Al-Kabir Town - Phase 2, Al-Kabir Town",3.5 Marla,4,5,https://www.zameen.com/Property/al_kabir_town_al-kabir_town_-_phase_2_3_5_marla_ultra_modern_corner_near_to_commercial_house_for_sale_in_al_kabir_town_phase_2_lahore-52878909-11704-1.html
Dubai Real Estate Offer 5 Marla Single Storey House For Sale In Canal Bank Housing Scheme water elec Gas,PKR 1.45 Crore,"Canal Bank Housing Scheme, Lahore",5 Marla,2,4,https://www.zameen.com/Property/lahore_canal_bank_housing_scheme_dubai_real_estate_offer_5_marla_single_storey_house_for_sale_in_canal_bank_housing_scheme_water_elec_gas-52717759-9354-1.html
Dubai Real Estate Offers 3.5 Marla Luxury Double Storey House For Sale In Canal Bank Housing Scheme Near Main Road Near Market WaterElectricity Gas,PKR 1.75 Crore,"Canal Bank Housing Scheme, Lahore",3.5 Marla,3,3,https://www.zameen.com/Property/lahore_canal_bank_housing_scheme_dubai_real_estate_offers_3_5_marla_luxury_double_storey_house_for_sale_in_canal_bank_housing_scheme_near_main_road_near_market_waterelectricity_gas-52846843-9354-1.html
5 Marla Used House For Sale,PKR 1.3 Crore,"Bahria Nasheman - Sunflower, Bahria Nasheman",5 Marla,3,4,https://www.zameen.com/Property/bahria_nasheman_bahria_nasheman_-_sunflower_5_marla_used_house_for_sale-52735769-4513-1.html
Get In Touch Now To Buy A 1 Kanal House In Valencia Housing Society Valencia Housing Society,PKR 6 Crore,"Valencia Housing Society, Lahore",1 Kanal,6,6,https://www.zameen.com/Property/lahore_valencia_housing_society_get_in_touch_now_to_buy_a_1_kanal_house_in_valencia_housing_society_valencia_housing_society-52898777-373-1.html
1 Kanal A+ Category Luxury House For Sale,PKR 6.2 Crore,"Tariq Gardens, Lahore",1 Kanal,6,6,https://www.zameen.com/Property/lahore_tariq_gardens_1_kanal_a_category_luxury_house_for_sale-52907150-1356-1.html
692 Square Feet Flat For Sale In Gulberg,PKR 1.97 Crore,"Park Diamond Vista, Gulberg 3 - Block C2",3.1 Marla,1,1,https://www.zameen.com/Property/gulberg_3_block_c2_park_diamond_vista_692_square_feet_flat_for_sale_in_gulberg-50141017-21751-1.html
ONE KANAL BEAUTIFUL VICTORIAN ROYAL PALACE FOR SALE IN DHA PHASE6 Lahore.,PKR 8.85 Crore,"DHA Phase 6, DHA Defence",1 Kanal,5,6,https://www.zameen.com/Property/dha_defence_dha_phase_6_one_kanal_beautiful_victorian_royal_palace_for_sale_in_dha_phase6_lahore-52996459-1448-1.html
"5 Marla Brand New House For Sale Tulip Block, Park View City, Lahore",PKR 2.15 Crore,"Park View City - Tulip Block, Park View City",5 Marla,4,4,https://www.zameen.com/Property/park_view_city_park_view_city_-_tulip_block_5_marla_brand_new_house_for_sale_tulip_block_park_view_city_lahore-52917232-8465-1.html
"Brand New 5 Marla Double Story House for Sale in Platinum Block, Park View City Lahore",PKR 1.7 Crore,"Park View City - Platinum Block, Park View City",5 Marla,4,4,https://www.zameen.com/Property/park_view_city_park_view_city_-_platinum_block_brand_new_5_marla_double_story_house_for_sale_in_platinum_block_park_view_city_lahore-52850609-16617-1.html
Prime Location 10 Marla Double Storey House For Sale In M Block Model Town Lahore,PKR 4.25 Crore,"Model Town - Block M, Model Town",10 Marla,5,5,https://www.zameen.com/Property/model_town_model_town_-_block_m_prime_location_10_marla_double_storey_house_for_sale_in_m_block_model_town_lahore-52543759-4038-1.html
"3 Kanal Double Storey House For Sale In F Block, Model Town Lahore",PKR 38 Crore,"Model Town - Block F, Model Town",3 Kanal,10,7,https://www.zameen.com/Property/model_town_model_town_-_block_f_3_kanal_double_storey_house_for_sale_in_f_block_model_town_lahore-52610818-1552-1.html
"LUXURY KANAL BRAND NEW HOUSE FOR SALE IN DHA Phase 7 Y Block, LAHORE.",PKR 10.25 Crore,"DHA Phase 7 - Block Y, DHA Phase 7",1 Kanal,5,6,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_y_luxury_kanal_brand_new_house_for_sale_in_dha_phase_7_y_block_lahore-52829703-1632-1.html
"LUXURY KANAL HOUSE FOR SALE DHA Phase 7 Y Block, LAHORE.",PKR 9.5 Crore,"DHA Phase 7 - Block Y, DHA Phase 7",1 Kanal,5,6,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_y_luxury_kanal_house_for_sale_dha_phase_7_y_block_lahore-52829655-1632-1.html
5 Marla Brand New A Plus Solid Constructed house For Sale And Direct Meeting With Owner In Park View City Lahore.,PKR 1.62 Crore,"Park View City, Lahore",5 Marla,4,4,https://www.zameen.com/Property/lahore_park_view_city_5_marla_brand_new_a_plus_solid_constructed_house_for_sale_and_direct_meeting_with_owner_in_park_view_city_lahore-52867484-1466-1.html
3 Years Installment Plan Luxury 5 Marla Brand New House In Park View City Lahore,PKR 1.6 Crore,"Park View City, Lahore",5 Marla,4,5,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_5_marla_brand_new_house_in_park_view_city_lahore-52820847-1466-1.html
5 Marla Brand New A Plus Solid Constructed house For Sale And Direct Meeting With Owner In Park View City Lahore.,PKR 1.75 Crore,"Park View City, Lahore",5 Marla,4,4,https://www.zameen.com/Property/lahore_park_view_city_5_marla_brand_new_a_plus_solid_constructed_house_for_sale_and_direct_meeting_with_owner_in_park_view_city_lahore-52901801-1466-1.html
D H A Lahore 1 Kanal Faisal Rasool Design House Full Furnished With Fully Basement And Cinema hall With 100% Original Pics Available For Sale,PKR 12.95 Crore,"DHA Phase 5, DHA Defence",1 Kanal,6,7,https://www.zameen.com/Property/dha_defence_dha_phase_5_d_h_a_lahore_1_kanal_faisal_rasool_design_house_full_furnished_with_fully_basement_and_cinema_hall_with_100_original_pics_available_for_sale-52502892-1447-1.html
corner House Out Standing Top Quality Brand New House With Basement Designed By Mazher Munir For Sale In DHA Phase 6 Near Dolmen Mall,PKR 5.22 Crore,"DHA Phase 6 - Block A, DHA Phase 6",11 Marla,4,6,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_a_corner_house_out_standing_top_quality_brand_new_house_with_basement_designed_by_mazher_munir_for_sale_in_dha_phase_6_near_dolmen_mall-52989228-1610-1.html
100% Original Price & Images 10 Marla Brand New A Plus Construction Modern Design House For Sale In DHA Phase 7 Lahore,PKR 5.8 Crore,"DHA Phase 7, DHA Defence",10 Marla,5,6,https://www.zameen.com/Property/dha_defence_dha_phase_7_100_original_price_images_10_marla_brand_new_a_plus_construction_modern_design_house_for_sale_in_dha_phase_7_lahore-52966177-1450-1.html
1 Kanal Triple Storey House Is Available For Sale In DHA Phase 6 Block F Lahore,PKR 13.5 Crore,"DHA Phase 6 - Block F, DHA Phase 6",1 Kanal,6,7,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_f_1_kanal_triple_storey_house_is_available_for_sale_in_dha_phase_6_block_f_lahore-52972871-1615-1.html
5 Marla House for sale in Park View City,PKR 2.1 Crore,"Park View City - Executive Block, Park View City",5 Marla,4,4,https://www.zameen.com/Property/park_view_city_park_view_city_-_executive_block_5_marla_house_for_sale_in_park_view_city-52993770-17598-1.html
Perfect Prime Location 10 Marla House In Central Park - Block A For sale,PKR 3.9 Crore,"Central Park - Block A, Central Park Housing Scheme",10 Marla,5,6,https://www.zameen.com/Property/central_park_housing_scheme_central_park_-_block_a_perfect_prime_location_10_marla_house_in_central_park_-_block_a_for_sale-52699554-3684-1.html
"Prime located Available House For sale in Central Park, Block A1",PKR 2.1 Crore,"Central Park - Block A1, Central Park Housing Scheme",5 Marla,4,4,https://www.zameen.com/Property/central_park_housing_scheme_central_park_-_block_a1_prime_located_available_house_for_sale_in_central_park_block_a1-52896725-17927-1.html
10 Marla Ultra Luxury Modern Designer House For Sale In Gulbahar Block Sector C Bahria Town Lahore,PKR 2.8 Crore,"Bahria Town - Gulbahar Block, Bahria Town - Sector C",10 Marla,5,6,https://www.zameen.com/Property/bahria_town_sector_c_bahria_town_-_gulbahar_block_10_marla_ultra_luxury_modern_designer_house_for_sale_in_gulbahar_block_sector_c_bahria_town_lahore-52996295-1793-1.html
"Prime Location 2 Kanal (1 Kanal House + 1 Kanal Lawn) Spanish Villa Sale in M Block, DHA Phase 6 Lahore",PKR 14.75 Crore,"DHA Phase 6 - Block M, DHA Phase 6",2 Kanal,5,6,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_m_prime_location_2_kanal_1_kanal_house_1_kanal_lawn_spanish_villa_sale_in_m_block_dha_phase_6_lahore-52993041-1621-1.html
20 Marla 40 Feet Road Near Park New House Available For Sale 5 Beds 6 Bathroom Demand 795 lac Valencia Town Lahore,PKR 7.95 Crore,"Valencia Housing Society, Lahore",1 Kanal,5,6,https://www.zameen.com/Property/lahore_valencia_housing_society_20_marla_40_feet_road_near_park_new_house_available_for_sale_5_beds_6_bathroom_demand_795_lac_valencia_town_lahore-52895888-373-1.html
5 Marla Brand New House Available For Sale In Lake City Sector M-7B,PKR 2.45 Crore,"Lake City - Sector M-7B, Lake City",5 Marla,4,4,https://www.zameen.com/Property/lake_city_lake_city_-_sector_m-7b_5_marla_brand_new_house_available_for_sale_in_lake_city_sector_m-7b-52348545-19059-1.html
10 Marla Slightly Used House For Sale In Punjab Coop Housing Society Lahore,PKR 3.4 Crore,"Punjab Coop Housing Society, Lahore",10 Marla,4,5,https://www.zameen.com/Property/lahore_punjab_coop_housing_society_10_marla_slightly_used_house_for_sale_in_punjab_coop_housing_society_lahore-44255798-456-1.html
3 Years Installments Plan 5 Marla Brand New House For Sale In Park View City,PKR 1.75 Crore,"Park View City, Lahore",5 Marla,4,5,https://www.zameen.com/Property/lahore_park_view_city_3_years_installments_plan_5_marla_brand_new_house_for_sale_in_park_view_city-52867456-1466-1.html
3 Years Installments Plan 10 Marla Brand New House For Sale In Park View City,PKR 3.2 Crore,"Park View City, Lahore",10 Marla,5,6,https://www.zameen.com/Property/lahore_park_view_city_3_years_installments_plan_10_marla_brand_new_house_for_sale_in_park_view_city-52867110-1466-1.html
"LUXURY KANAL HOUSE FOR SALE DHA Phase 6 C Block, LAHORE.",PKR 8.5 Crore,"DHA Phase 6 - Block C, DHA Phase 6",1 Kanal,5,6,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_c_luxury_kanal_house_for_sale_dha_phase_6_c_block_lahore-52829587-1612-1.html
Brand-New 10 Marla Beautifully Designed House For Sale Located In The Prime Location Of DHA Phase 1 N-Block,PKR 7 Crore,"DHA Phase 1 - Block N, DHA Phase 1",10 Marla,6,6,https://www.zameen.com/Property/dha_phase_1_dha_phase_1_-_block_n_brand-new_10_marla_beautifully_designed_house_for_sale_located_in_the_prime_location_of_dha_phase_1_n-block-52829337-1654-1.html
3 Years Installment Plan Luxury Brand New House In Park View City Lahore,PKR 3.2 Crore,"Park View City, Lahore",10 Marla,5,6,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_brand_new_house_in_park_view_city_lahore-52800286-1466-1.html
3 Years Installment Plan Luxury Brand New House In Park View City Lahore,PKR 1.15 Crore,"Park View City, Lahore",3.5 Marla,3,4,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_brand_new_house_in_park_view_city_lahore-52798926-1466-1.html
"10 MARLA BRAND NEW LUXURY HOUSE FOR SALE DHA Phase 5, LAHORE.",PKR 8.3 Crore,"DHA Phase 5, DHA Defence",10 Marla,4,5,https://www.zameen.com/Property/dha_defence_dha_phase_5_10_marla_brand_new_luxury_house_for_sale_dha_phase_5_lahore-52832690-1447-1.html
DOUBLE HIGHTED ONE BED APARTMENT FOR SALE BOOKING FROM JUST 22 LAC IN BAHRIA TOWN LAHORE,PKR 1.13 Crore,"Bahria Town - Sector E, Bahria Town",2.7 Marla,1,1,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_double_highted_one_bed_apartment_for_sale_booking_from_just_22_lac_in_bahria_town_lahore-52145563-1802-1.html
3 Years Installment Plan Luxury 5 Marla Brand New House In Park View City Lahore,PKR 1.75 Crore,"Park View City, Lahore",5 Marla,4,5,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_5_marla_brand_new_house_in_park_view_city_lahore-52802197-1466-1.html
Brand New Luxury 1 Bed Apartment Available For Sale in Sector E Bahria Town Lahore Get Possession On 50% & Rest in Easy Instalments,PKR 85 Lakh,"Bahria Town - Iqbal Block, Bahria Town - Sector E",2.7 Marla,1,1,https://www.zameen.com/Property/bahria_town_sector_e_bahria_town_-_iqbal_block_brand_new_luxury_1_bed_apartment_available_for_sale_in_sector_e_bahria_town_lahore_get_possession_on_50_rest_in_easy_instalments-52145565-1805-1.html
Elegant Ultra Modern Design House For Sale At Top Location Near To Raya Commercial,PKR 8.75 Crore,"DHA Phase 6, DHA Defence",1 Kanal,5,6,https://www.zameen.com/Property/dha_defence_dha_phase_6_elegant_ultra_modern_design_house_for_sale_at_top_location_near_to_raya_commercial-52802862-1448-1.html
3 Years Installment Plan Luxury 5 Marla Brand New House In Park View City Lahore,PKR 1.55 Crore,"Park View City, Lahore",5 Marla,4,5,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_5_marla_brand_new_house_in_park_view_city_lahore-52522361-1466-1.html
Get In Touch Now To Buy A Prime Location 5 Marla House In Lahore,PKR 1.7 Crore,"Park View City - Crystal Block, Park View City",5 Marla,4,4,https://www.zameen.com/Property/park_view_city_park_view_city_-_crystal_block_get_in_touch_now_to_buy_a_prime_location_5_marla_house_in_lahore-52958364-17960-1.html
Own Your Dream Home: Brand New 1 Kanal House in DHA Phase 7,PKR 7.35 Crore,"DHA Phase 7, DHA Defence",1 Kanal,5,6,https://www.zameen.com/Property/dha_defence_dha_phase_7_own_your_dream_home_brand_new_1_kanal_house_in_dha_phase_7-52992920-1450-1.html
1 KANAL MODERN HOUSE FOR SALE IN DHA PHASE 7 AT PRIME LOCATION,PKR 6.9 Crore,"DHA Phase 7, DHA Defence",1 Kanal,5,6,https://www.zameen.com/Property/dha_defence_dha_phase_7_1_kanal_modern_house_for_sale_in_dha_phase_7_at_prime_location-52964279-1450-1.html
5 Marla For Sale Available Near Cavalry Ground Extraction Lahore Cantt,PKR 3.1 Crore,"Cavalry Ground, Lahore",5 Marla,3,4,https://www.zameen.com/Property/lahore_cavalry_ground_5_marla_for_sale_available_near_cavalry_ground_extraction_lahore_cantt-52877901-69-1.html
12 Marla For Sale Available Cavalry Ground Lahore Cantt,PKR 7 Crore,"Cavalry Ground, Lahore",12 Marla,4,4,https://www.zameen.com/Property/lahore_cavalry_ground_12_marla_for_sale_available_cavalry_ground_lahore_cantt-52993911-69-1.html
1 Kanal Adorable Bungalow With Full Basement On Top Location For Sale In DHA Phase 7 Lahore,PKR 9.1 Crore,"DHA Phase 7, DHA Defence",1 Kanal,6,7,https://www.zameen.com/Property/dha_defence_dha_phase_7_1_kanal_adorable_bungalow_with_full_basement_on_top_location_for_sale_in_dha_phase_7_lahore-52877329-1450-1.html
5 MARLA LUXURIOUS HOUSE FOR SALE,PKR 2.55 Crore,"Union Livings, Main Canal Bank Road",5 Marla,3,4,https://www.zameen.com/Property/main_canal_bank_road_union_livings_5_marla_luxurious_house_for_sale-52773007-18404-1.html
Centrally Located Prime Location House In Park View City Is Available For sale,PKR 1.75 Crore,"Park View City, Lahore",5 Marla,4,4,https://www.zameen.com/Property/lahore_park_view_city_centrally_located_prime_location_house_in_park_view_city_is_available_for_sale-52944647-1466-1.html
10 Marla Designer House For Sale Unmatched Elegance Close To Dolmen Mall & Ring Road,PKR 4.45 Crore,"DHA Phase 6, DHA Defence",10 Marla,4,5,https://www.zameen.com/Property/dha_defence_dha_phase_6_10_marla_designer_house_for_sale_unmatched_elegance_close_to_dolmen_mall_ring_road-52994142-1448-1.html
3 Years Installments Plan 5 Marla Brand New House For Sale In Park View City,PKR 1.8 Crore,"Park View City, Lahore",5 Marla,4,5,https://www.zameen.com/Property/lahore_park_view_city_3_years_installments_plan_5_marla_brand_new_house_for_sale_in_park_view_city-52865122-1466-1.html
10 Marla House For Sale,PKR 5.15 Crore,"Punjab Coop Housing - Block A, Punjab Coop Housing Society",10 Marla,5,6,https://www.zameen.com/Property/punjab_coop_housing_society_punjab_coop_housing_-_block_a_10_marla_house_for_sale-41168285-4151-1.html
5 Marla Brand New House For Sale At Attractive Location,PKR 2.1 Crore,"Park View City - Tulip Overseas, Park View City",5 Marla,3,4,https://www.zameen.com/Property/park_view_city_park_view_city_-_tulip_overseas_5_marla_brand_new_house_for_sale_at_attractive_location-52994661-13754-1.html
5 Marla Brand New House For Sale,PKR 2.1 Crore,"Park View City - Crystal Block, Park View City",5 Marla,3,4,https://www.zameen.com/Property/park_view_city_park_view_city_-_crystal_block_5_marla_brand_new_house_for_sale-52994678-17960-1.html
2 Bed Furnished Apartment For Sale On Installment,PKR 69 Lakh,"Lake City, Raiwind Road",4.4 Marla,2,2,https://www.zameen.com/Property/raiwind_road_lake_city_2_bed_furnished_apartment_for_sale_on_installment-52014788-1103-1.html
3 Years Installment Plan Luxury Brand New House In Park View City Lahore,PKR 1.65 Crore,"Park View City, Lahore",5 Marla,4,5,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_brand_new_house_in_park_view_city_lahore-52820062-1466-1.html
One Bed Apartment Available For Sale In Sector E Bahria Town Lahore,PKR 75 Lakh,"Bahria Town - Sector E, Bahria Town",2.2 Marla,1,1,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_one_bed_apartment_available_for_sale_in_sector_e_bahria_town_lahore-52145566-1802-1.html
3 Years Installment Plan Luxury 5 Marla Brand New House In Park View City Lahore,PKR 1.6 Crore,"Park View City, Lahore",5 Marla,4,5,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_5_marla_brand_new_house_in_park_view_city_lahore-52826177-1466-1.html
Book Luxury Apartment In Just 10 Lakh On Instalment Plan In Sector E Bahria Town Lahore,PKR 72 Lakh,"Bahria Town - Sector E, Bahria Town",1.8 Marla,1,1,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_book_luxury_apartment_in_just_10_lakh_on_instalment_plan_in_sector_e_bahria_town_lahore-52147364-1802-1.html
"KANAL BRAND NEW LUXURY HOUSE FOR SALE IN DHA Phase 5, LAHORE.",PKR 13 Crore,"DHA Phase 5, DHA Defence",1 Kanal,5,6,https://www.zameen.com/Property/dha_defence_dha_phase_5_kanal_brand_new_luxury_house_for_sale_in_dha_phase_5_lahore-52832080-1447-1.html
2 Bed Luxury Apartment For Sale In Just 20 Lakh On Installment Plan In Sector A Bahria Town,PKR 1.2 Crore,"Bahria Town - Sector A, Bahria Town",4 Marla,2,2,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_a_2_bed_luxury_apartment_for_sale_in_just_20_lakh_on_installment_plan_in_sector_a_bahria_town-52147367-1769-1.html
"LUXURY KANAL BRAND NEW HOUSE FOR SALE DHA Phase 7, LAHORE.",PKR 9.6 Crore,"DHA Phase 7, DHA Defence",1 Kanal,5,6,https://www.zameen.com/Property/dha_defence_dha_phase_7_luxury_kanal_brand_new_house_for_sale_dha_phase_7_lahore-52831632-1450-1.html
10 Marla Brand New LUXURY HOUSE For SALE In NARGIS Block Sector C Bahia Town Lahore,PKR 2.7 Crore,"Bahria Town - Nargis Block, Bahria Town - Sector C",10 Marla,5,7,https://www.zameen.com/Property/bahria_town_sector_c_bahria_town_-_nargis_block_10_marla_brand_new_luxury_house_for_sale_in_nargis_block_sector_c_bahia_town_lahore-52916355-1791-1.html
Charming 5-Bedroom 10 Marla House In DHA With Modern Comfort With Stylish Finishes,PKR 4.85 Crore,"DHA Phase 7, DHA Defence",10 Marla,5,6,https://www.zameen.com/Property/dha_defence_dha_phase_7_charming_5-bedroom_10_marla_house_in_dha_with_modern_comfort_with_stylish_finishes-52880511-1450-1.html
1 Kanal Beautiful Stylish Bungalow For Sale In Dha Phase 7 Lahore,PKR 7.22 Crore,"DHA Phase 7 - Block R, DHA Phase 7",1 Kanal,5,6,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_r_1_kanal_beautiful_stylish_bungalow_for_sale_in_dha_phase_7_lahore-44736126-1625-1.html
Modern Design 5 Marla Brand New House Available For Sale In DHA 9 Town Block A,PKR 2.35 Crore,"DHA 9 Town - Block A, DHA 9 Town",5 Marla,3,4,https://www.zameen.com/Property/dha_9_town_dha_9_town_-_block_a_modern_design_5_marla_brand_new_house_available_for_sale_in_dha_9_town_block_a-52535551-8173-1.html
1 Kanal Brand New Double Unit 6 Beds Double Storey Bungalow For,PKR 7.9 Crore,"DHA Phase 6, DHA Defence",1 Kanal,6,7,https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_brand_new_double_unit_6_beds_double_storey_bungalow_for-52928881-1448-1.html
House For Sale 8 Marla Facing Park Ali Block Bahria Town Lahore,PKR 2.78 Crore,"Bahria Town - Ali Block, Bahria Town - Sector B",8 Marla,4,4,https://www.zameen.com/Property/bahria_town_sector_b_bahria_town_-_ali_block_house_for_sale_8_marla_facing_park_ali_block_bahria_town_lahore-52305270-1779-1.html
A Well Designed House Is Up For sale In An Ideal Location In Lahore,PKR 2.4 Crore,"Bahria Town - Sector E, Bahria Town",5 Marla,3,4,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_a_well_designed_house_is_up_for_sale_in_an_ideal_location_in_lahore-52765355-1802-1.html
